Disease,Treatments
Thrombogenicity,Balloon Angioplasty; Laser-Thermal Angioplasty
Thrombosis,Oral Contraceptives
Torsade Des Pointes,Sodium Channel Block With Mexiletine
Total Peripheral Artery Occlusions,Ultrasound Energy
Toxic Effects Of Chemotherapy And Radiotherapy,Amifostine ( Wr-2721 )
Tracheobronchial Stenoses,Silicone Stents
Treatment-Resistant Bilateral Cmv Retinitis,Cidofovir 'S; Intravenous Cidofovir Therapy
Trigeminal Neuralgia,Gamma Knife Treatment
Troglitazone-Induced Hepatic Failure,Liver Transplantation
Tubal Pregnancy,Conservative Surgery; Salpingectomy
Tuberculosis,Mycobacterium Vaccae Immunotherapy
Tumor,Resection
Tumor Confined To The Carinal Or Proximal Main Stem Bronchus,Carinal Plus Lobar Resections; Carinal Pneumonectomies; Carinal Resections; Isolated Carinal Resections
Tumor Growth,Sp1 Decoy Strategy
Tumors,Autologous Tumor-Derived Heat Shock Protein Preparations; Immunotherapy
Type 2 Diabetes,Troglitazone
Typhoid,Vaccine
Typical Carcinoid ( Tc ),Lung Resection
Ulcer,Billroth Ii Subtotal Gastrectomy
Ulceration,Ranitidin
Ultraviolet-Induced Damage To The Epidermis,Topical Dl-Alpha-Tocopherol ( Vitamin E )
Unresectable Colorectal Cancer Liver Metastases,"Infusional Chemotherapy With 5-Fluorouracil , Leucovorin , Oxaliplatin And Surgery"
Unresectable Liver Metastases,Neoadjuvant Therapy With Oxaliplatin/Fluorouracil/Folinic Acid; Oxaliplatin/Fluorouracil/Folinic Acid Therapy; Surgery
Unresectable Non-Small-Cell Lung Cancer,"Mitomycin , Ifosfamide , And Cisplatin"
Unresectable Stage Iii Nsclc,Sequential Chemotherapy Followed By Radiation
Unstable Angina,"An Antichlamydial Macrolide Antibiotic , Roxithromycin; Aspirin Plus Heparin; Aspirin Plus Tirofiban; Coronary Angioplasty; Enoxaparin; Roxithromycin; Ufh"
Untreated Limited Small Cell Lung Cancer,Etoposide ( Vp-16 ) -Ifosfamide-Cisplatin ( Vip ) Combination Chemotherapy Plus Early Concurrent Thoracic Irradiation
Untreated Or Relapsed Sclc,Chemotherapeutic Drugs
Untreated Sclc,Chemotherapy
Upper Gastrointestinal ( Ugi ) Bleeding,Catheter Treatment; Endoscopic Intervention; Laparoscopic Removal; Laparoscopic Treatment; Laser Treatment
Ureteric Calculi,Rigid Ureteroscopy
Urinary Stones,Surgical Treatment
Urinary Tract Infections,Fluoroquinolones
Uterine Cervix Insufficiency,Surgical Treatment
Valvular Heart Disease,Fenfluramine-Phentermine; Fenfluramine-Phentermine Therapy
Vasoreactivity,Balloon Angioplasty; Laser-Thermal Angioplasty
Venous Thromboembolism,Low-Molecular-Weight Heparins
Ventral Hernia,Laparoscopic Technique For Mesh Placement
Ventral Hernias,Expanded Polytetrafluoroethylene Patch
Ventricular Septal Perforation,Endocardial Patch Repair
Ventricular Tachycardia,Procainamide; Surgical Therapy
Verruca Vulgaris,Topical Cidofovir
Vesico-Enteric Fistula,Resection Of The Small Intestine And Dome Of The Bladder And Drainage Of The Intervening Abscess
Vesico-Uterine Fistula,Caesarean Section; Vacuum Extraction
Vesicoureteric Reflux,Endoscopic Injection Of Pyrolised Polytetrafluoroethylene ( Polytef ) Paste
Viral Infections,Interferon
Viremia,Combination Therapy
Wilson 'S Disease,"D-Penicillamine ( 2-Amino-3-Mercapto-3-Methylbutanoic Acid ) , A Well-Known Heavy Metal Chelator"
Xerostomia,Amifostine; Irradiation Therapy
